name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s) [31 Oct 2013 u32 n]
fannkuch-redux,C gcc,4,10,1183,0.184,0,0,0% 0% 0% 100%,0.186
fannkuch-redux,C gcc,4,11,1183,2.100,328,0,1% 0% 0% 100%,2.102
fannkuch-redux,C gcc,4,12,1183,27.240,328,0,1% 0% 0% 100%,27.253
fannkuch-redux,Racket,2,10,903,1.856,16140,0,0% 0% 1% 100%,1.861
fannkuch-redux,Racket,2,11,903,21.768,16144,0,0% 1% 0% 100%,21.78
fannkuch-redux,Racket,2,12,903,294.628,16600,0,0% 0% 0% 100%,294.728
fannkuch-redux,Haskell GHC,3,10,1153,0.388,256,0,0% 0% 3% 100%,0.39
fannkuch-redux,Haskell GHC,3,11,1153,4.756,1588,0,0% 1% 1% 100%,4.763
fannkuch-redux,Haskell GHC,3,12,1153,63.924,1588,0,0% 0% 0% 100%,63.943
fannkuch-redux,F# Mono,4,10,612,0.552,15216,0,4% 0% 0% 100%,0.557
fannkuch-redux,F# Mono,4,11,612,6.112,15208,0,0% 1% 1% 100%,6.115
fannkuch-redux,F# Mono,4,12,612,84.004,15220,0,0% 0% 0% 100%,84.033
fannkuch-redux,Lisp SBCL,4,10,1518,0.416,12944,0,2% 2% 2% 100%,0.421
fannkuch-redux,Lisp SBCL,4,11,1518,4.192,13476,0,0% 0% 2% 100%,4.196
fannkuch-redux,Lisp SBCL,4,12,1518,57.288,14108,0,0% 0% 0% 100%,57.307
fannkuch-redux,PHP,2,10,441,14.540,2536,0,0% 0% 0% 100%,14.564
fannkuch-redux,PHP,2,11,441,179.872,2536,0,0% 0% 0% 100%,179.942
fannkuch-redux,PHP,2,12,441,2558.804,2540,0,0% 0% 0% 100%,2559.741
fannkuch-redux,Scala,2,10,1017,0.744,19820,0,0% 0% 0% 100%,0.748
fannkuch-redux,Scala,2,11,1017,4.488,20008,0,0% 0% 0% 100%,4.493
fannkuch-redux,Scala,2,12,1017,59.632,20808,0,0% 1% 1% 100%,59.655
